hi_en	अँड़ुआ india
en_hi	school अंगुलीयंत्र
mixed_in_word	अंसत्र-mobile
hi_en	अकड/F network
en_hi	data अचगर/FE
mixed_in_word	अंडोच्छेदन-project
hi_en	अकल्याणाकारी model
en_hi	health अकुश
mixed_in_word	अंतर्जंघास्थि-market
hi_en	अठवाडे train
en_hi	bus अग्निवाहक
mixed_in_word	अचाहा/GC-road
hi_en	अटाटूट teacher
en_hi	student अंबासा
mixed_in_word	अकड़पन-city
hi_en	अऊठा village
en_hi	bank अंगरखा
mixed_in_word	अदाकार/MFE-police
hi_en	अँकरास doctor
en_hi	computer अदिघे
mixed_in_word	अँधोटी-india
hi_en	अंबुपात school
en_hi	mobile अधढँकी
mixed_in_word	अंतःचक्षु-network
hi_en	अग्रदृश्य data
en_hi	project अखाड़ें
mixed_in_word	अंतर्निरीक्षण-model
hi_en	अंगुल्यादेश health
en_hi	market अंतनिर्विष्ट
mixed_in_word	अखर/s8TvFED-train
hi_en	अकालेर bus
en_hi	road अंकलंक
mixed_in_word	अंधबुद्धि-teacher
hi_en	अधारिका student
en_hi	city अचानक/M
mixed_in_word	अकड़ाहट-village
hi_en	अँगेथू bank
en_hi	police अथव/MFD
mixed_in_word	अद्भुतस्वन-doctor
hi_en	अखयतीज computer
en_hi	india अंगविच्छेद
mixed_in_word	अंगराज/M-school
hi_en	अंजनागिरि mobile
en_hi	network अंजनाधिका
mixed_in_word	अंधियार/FEDM-data
hi_en	अजिपाद project
en_hi	model अंतरीपाग्र
mixed_in_word	अताब-health
hi_en	अँगुली-छाप market
en_hi	train अतिबल
mixed_in_word	अग्रगण्य/sT-bus
hi_en	अंदर/EM road
en_hi	teacher अजान/FEDsTM
mixed_in_word	अद्वेषपूर्ण-student
hi_en	अग्निक्रीडा city
en_hi	village अंक-फलक
mixed_in_word	अदरक-पड़े-bank
hi_en	अँकवाई/O police
en_hi	doctor अधपढ़ा/G
mixed_in_word	अटलांटा-computer
hi_en	अक्सीर/M india
en_hi	school अघासुर/M
mixed_in_word	अजदहा-mobile
hi_en	अगहनिया network
en_hi	data अजगवय
mixed_in_word	अंश/sTMEU-project
hi_en	अंदरूनीपन model
en_hi	health अंतर्जंतु
mixed_in_word	अंड़ो-market
hi_en	अंबरडंबर train
en_hi	bus अँगरा/7G34sTv
mixed_in_word	अंडप्रसव-road
hi_en	अताइयों teacher
en_hi	student अद्धाखलासी
mixed_in_word	अक्कलकोट-city
hi_en	अंगदीप्ति village
en_hi	bank अग्निजात
mixed_in_word	अटेंड/M-police
hi_en	अगम्यागामी doctor
en_hi	computer अकोसना
mixed_in_word	अजाय-india
hi_en	अखाव school
en_hi	mobile अग्निपरिक्रमा
