hi	अडोबी
hi_noisy	अत्तिका/Gं
hi_code_mixed	अंघ्रिप india
hi_romanized	bharat अंगुलिका/JK
hi_long	अंदोहगींअंदोहगीं
hi_short	अंधे
hi	अंतररहित
hi_noisy	अंजलिं
hi_code_mixed	अद्रिसानु india
hi_romanized	bharat अटकाव/MD
hi_long	अद्रिभिदअद्रिभिद
hi_short	अजस
hi	अक्षरशत्रु
hi_noisy	अतिमात्रं
hi_code_mixed	अण्डोत्सर्ग india
hi_romanized	bharat अटॅहासी
hi_long	अकैडमिकअकैडमिक
hi_short	अंगा
hi	अक्षर-योजक
hi_noisy	अग्निसात्ं
hi_code_mixed	अंबुतस्कर india
hi_romanized	bharat अणु-अस्त्र/M
hi_long	अचुतरअचुतर
hi_short	अक्ष
hi	अगस्त/M
hi_noisy	अग्निचितं
hi_code_mixed	अंतर-बाह्य india
hi_romanized	bharat अंधाहुली
hi_long	अकायत/Fअकायत/F
hi_short	अं
hi	अक्षयपुरूहूत
hi_noisy	अंटागुड़गुड़ं
hi_code_mixed	अक्षकृत india
hi_romanized	bharat अंडवृत्त
hi_long	अतृप्यअतृप्य
hi_short	अंतरछ
hi	अखाड़ा/CI
hi_noisy	अग्रंथित/sTं
hi_code_mixed	अँखुआ india
hi_romanized	bharat अत्ति
hi_long	अंतरवेधीअंतरवेधी
hi_short	अथर्
hi	अट्टहास्य
hi_noisy	अदायगीं
hi_code_mixed	अटैच्ड india
hi_romanized	bharat अँगुरिया
hi_long	अग्रकरणअग्रकरण
hi_short	अजै
hi	अक्टूबर/M
hi_noisy	अतिस्वनगामीं
hi_code_mixed	अंतग्रर्हीत india
hi_romanized	bharat अक्षबिंदु
hi_long	अत्याहारिताअत्याहारिता
hi_short	अंधेर
hi	अग्निधारित्र
hi_noisy	अदाबंदीं
hi_code_mixed	अंशुमान/M india
hi_romanized	bharat अंगुलीयक
hi_long	अंट्राअंट्रा
hi_short	अंश
hi	अंतविर्रोधी
hi_noisy	अक्लिष्टं
hi_code_mixed	अंग-संचालन india
hi_romanized	bharat अंगड़खंगड़
hi_long	अंतरादिकअंतरादिक
hi_short	अखंडय
hi	अँकवाया
hi_noisy	अंतःपुरुषं
hi_code_mixed	अग्रांतर india
hi_romanized	bharat अटोक
hi_long	अंगुश्त/DMअंगुश्त/DM
hi_short	अधक
hi	अजीबोगरीब
hi_noisy	अंधकूपकारागारं
hi_code_mixed	अगियाबैताल india
hi_romanized	bharat अकुश
hi_long	अघायुअघायु
hi_short	अग्न
hi	अतमिस्र
hi_noisy	अति-उत्साहीं
hi_code_mixed	अंत्यज/F india
hi_romanized	bharat अंठानबेवाँ
hi_long	अंतरोघअंतरोघ
hi_short	अंब/
hi	अखचित
hi_noisy	अंतर्कलापं
hi_code_mixed	अधःशिरा india
hi_romanized	bharat अंधविश्वासपूर्ण
hi_long	अगवासीअगवासी
hi_short	अच
hi	अंत्यविदारण
hi_noisy	अतालीक़ं
hi_code_mixed	अजूह india
hi_romanized	bharat अथापास्काव
hi_long	अंतरंगतमअंतरंगतम
hi_short	अट्
hi	अंतर्गति
hi_noisy	अकांउंटेटं
hi_code_mixed	अंबरांत/M india
hi_romanized	bharat अंगारकाड़ी
hi_long	अतोलअतोल
hi_short	अटकल/8E
hi	अंगसम्बन्धी
hi_noisy	अगदकरं
hi_code_mixed	अधरास्ता/C india
hi_romanized	bharat अंदेशानाक
hi_long	अंगददेवअंगददेव
hi_short	अंभ
hi	अगस्त्यगीता
hi_noisy	अचिर/sTं
hi_code_mixed	अकालत्व india
hi_romanized	bharat अक्तूबर
hi_long	अटकापनअटकापन
hi_short	अधःप
hi	अँका/7AGCB34sTv
hi_noisy	अत्याग/Eं
hi_code_mixed	अदीब/EM india
hi_romanized	bharat अक्षरशः
hi_long	अठावनवाँअठावनवाँ
hi_short	अँदा
hi	अंगिका/JK
hi_noisy	अड्डेबाज/Eं
hi_code_mixed	अंतनिर्रीक्षण india
hi_romanized	bharat अकार्यालयीय
hi_long	अदेय-देयअदेय-देय
hi_short	अद
hi	अकण्र्य
hi_noisy	अटलजीं
hi_code_mixed	अकल्प्य india
hi_romanized	bharat अंगत्राण/M
hi_long	अंक-तालिकाअंक-तालिका
hi_short	अती
hi	अजैकपद
hi_noisy	अक्षरमाला/CIं
hi_code_mixed	अक्रुर/M india
hi_romanized	bharat अंशहीन/sT
hi_long	अंधविश्वासियोंअंधविश्वासियों
hi_short	अग्र
hi	अँगुलियाँ
hi_noisy	अकेतनं
hi_code_mixed	अंशांकित india
hi_romanized	bharat अताप/EsT
hi_long	अग्निकंडअग्निकंड
hi_short	अग्निह
hi	अँगूरी
hi_noisy	अदाँतं
hi_code_mixed	अक्षदेवी india
hi_romanized	bharat अंधेर/MFED
hi_long	अंतवह्निअंतवह्नि
hi_short	अगर
